@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
1,1,0,1,0.605263,0,0,0,8,0,0,1,1,0
0,0,0,0.998279,0.709302,0,0,0,4,0,0,1,1,0
1,0,0,1,0.817232,0,0,0,1,0,0,0,1,0
0,0,1,0.192355,0.229508,0,0,0,0,0,0,1,1,0
0,0,0,1,0.324176,0,0,0,2,0,0,0,1,0
1,0,0,0.266885,0.910448,0,0,1,10,0,0,1,1,0
1,0,0,0.205202,0.597826,0,0,0,1,0,0,0,0,0
0,0,0,0.215078,0.400498,0,0,0,0,0,0,0,1,0
1,0,0,1,0.487421,0,0,0,0,0,0,1,1,0
0,0,0,0.270142,0.460568,0,0,0,0,0,0,0,1,0
1,0,0,0.75,0.43,0,0,0,4,0,0,1,0,0
0,0,0,0.018349,0.835586,0,0,0,0,0,0,0,0,0
0,0,0,0.230126,0.861925,0,0,0,4,0,0,1,0,0
0,0,1,0.228632,0.758065,0,0,0,2,0,0,1,1,0
0,0,0,1,0.225275,0,0,0,2,0,0,1,0,0
0,0,0,0.36036,0.340361,0,0,0,2,0,0,0,0,0
0,0,0,1,0.818841,0,0,0,21,0,0,1,1,0
0,0,1,0.234375,0.912371,0,0,1,2,0,0,0,1,0
1,1,0,0.211838,0.969298,0,0,1,2,0,0,1,0,0
0,0,0,0.584746,0.5953,0,0,0,1,0,0,0,0,0
0,0,0,0.128289,0.928571,0,0,1,1,0,0,0,1,0
0,0,0,0.149477,0.801724,0,0,0,4,0,0,1,1,0
1,0,0,0.508121,0.249364,0,0,0,6,0,0,1,1,0
1,0,0,1,0.545455,0,0,0,2,0,0,0,1,0
1,0,0,1,0.81,0,0,0,4,0,0,1,1,0
0,0,0,0.253853,0.526171,0,0,0,2,0,0,0,0,0
0,0,0,1,0.29386,0,0,0,4,0,0,1,0,0
0,0,1,1,0.349594,0,0,0,2,0,0,1,1,0
0,0,0,0.228033,0.853557,0,0,0,4,0,0,1,1,0
0,0,0,0.390977,0.239437,0,0,0,4,0,0,1,0,0
0,0,0,0.04878,0.045455,0,0,0,1,0,0,0,1,0
0,0,0,0.636364,0.066138,0,0,0,1,0,0,0,0,0
0,0,0,0.056208,0.036066,0,0,0,1,0,0,0,1,0
1,0,0,0.244128,0.939344,0,0,1,4,0,0,1,1,0
0,0,0,1,0.692308,0,0,0,1,0,0,1,1,0
1,1,0,1,0.956522,0,0,1,1,0,0,0,1,0
0,0,0,0.998878,0.52454,0,0,0,2,0,0,0,1,0
1,0,0,1,0.861619,0,0,0,1,0,0,1,1,0
0,0,0,0.530699,0.79955,0,0,0,1,0,0,0,0,0
1,0,0,0.213457,0.374046,0,0,0,4,0,0,1,0,0
0,0,0,0.999892,0.932647,0,0,1,0,0,0,1,1,0
0,0,0,0.051903,0.701847,0,0,0,0,0,0,0,0,0
0,0,0,1,0.641721,0,0,0,0,0,0,1,1,0
0,0,0,0.086313,0.877049,0,0,0,1,0,0,1,1,0
1,0,0,0.058993,0.974955,0,0,1,2,0,0,1,1,0
0,0,0,0.301724,0.536585,0,0,0,1,0,0,1,1,0
0,0,0,0.888889,0.822222,0,0,0,2,0,0,1,0,0
0,0,0,0.332281,0,0,1,0,2,0,0,0,0,0
0,0,0,0.584746,0.579635,0,0,0,1,0,0,0,0,0
0,0,0,1,0.65653,0,0,0,0,0,0,0,1,0
1,0,0,0.998941,0.8094,0,0,0,2,0,0,1,1,0
0,0,1,1,0.625,0,0,0,1,0,0,0,0,0
1,0,0,1,0.798956,0,0,0,4,0,0,0,1,0
1,0,0,0.024291,0.73253,0,0,0,1,0,1,0,0,0
0,0,0,1,0.659574,0,0,0,0,0,0,0,0,0
0,0,0,0.999557,0.590164,0,0,0,0,0,0,0,0,0
0,0,0,0.101996,0.696517,0,0,0,6,0,0,0,1,0
0,0,0,0.248337,0.858209,0,0,0,2,0,0,1,1,0
0,0,0,0.998467,0.343949,0,0,0,4,0,0,1,0,0
0,0,0,1,0.263736,0,0,0,3,0,0,1,1,0
1,0,0,0.747449,0.51,0,0,0,10,0,0,1,1,0
1,0,0,1,0.758621,0,0,0,6,0,0,1,1,0
0,0,0,1,0.262673,0,0,0,0,0,0,1,0,0
0,0,0,0.667406,0.584577,0,0,0,2,0,0,0,1,0
1,0,0,0.705747,0.867925,0,0,0,1,0,0,0,1,0
1,0,0,1,0.947917,0,0,1,12,0,0,0,0,0
1,0,0,0.615457,0,0,1,0,2,0,0,0,1,0
0,0,0,1,0.297071,0,0,0,5,0,0,1,1,0
1,0,0,0.75,0.69,0,0,0,2,0,0,1,1,0
0,1,0,0.202422,0.899736,0,0,0,2,0,0,0,1,0
0,0,0,1,0.071429,0,0,0,1,0,0,0,0,0
0,0,0,1,0.619247,0,0,0,2,0,0,1,1,0
1,0,0,1,0.830287,0,0,0,3,0,0,1,1,0
0,0,0,0.009534,0.979112,0,0,1,0,0,0,1,0,0
0,0,0,0.215054,0.174917,0,0,0,0,0,0,0,1,0
0,0,0,0.533333,0.923077,0,0,1,1,0,0,0,1,0
1,0,0,0.999557,0.864754,0,0,0,3,0,0,1,1,0
0,0,0,0.345898,0.133085,0,0,0,1,0,0,1,1,0
1,0,0,0.617169,0.211196,0,0,0,0,0,0,0,1,0
1,0,0,0.049497,0.965574,0,0,1,1,0,0,0,1,0
0,0,0,0.75,0.91,0,0,1,4,0,0,1,1,0
0,0,0,1,0.37551,0,0,0,0,0,0,1,0,0
0,0,0,1,0.512821,0,0,0,0,0,0,1,1,0
0,0,0,1,0.808642,0,0,0,1,0,0,1,0,0
0,0,0,0.017301,0.129288,0,0,0,0,0,0,0,1,0
1,1,0,1,0.988506,0,0,1,3,0,0,0,0,0
1,0,0,1,0.681529,0,0,0,2,0,0,0,1,0
0,0,0,0.248337,0.856965,0,0,0,3,0,0,1,1,0
0,0,0,1,0.446541,0,0,0,2,0,1,0,1,0
0,0,0,1,0.456044,0,0,0,5,0,0,1,1,0
1,0,0,1,0.805344,0,0,0,1,0,0,1,1,0
1,0,0,0.998941,0.929504,0,0,1,1,0,0,1,1,0
1,1,0,0.630435,0.714286,0,0,0,5,0,0,1,1,0
0,0,0,0.998964,0.725275,0,0,0,0,0,0,0,1,0
0,0,0,0.876068,0.288018,0,0,0,2,0,0,1,1,0
0,0,0,0.646617,0.190141,0,0,0,3,0,0,0,0,0
0,0,0,1,0.964286,0,0,1,1,0,0,0,0,0
0,0,0,1,0.333333,0,0,0,6,0,0,0,1,0
0,0,0,1,0.824176,0,0,0,2,0,0,1,1,0
0,0,0,0.02439,0.679105,0,0,0,0,0,0,0,0,0
0,0,0,0.343681,0.126866,0,0,0,0,0,1,1,0,0
0,0,0,0.009259,0.758065,0,0,0,0,0,0,0,1,0
0,0,0,1,0.568628,0,0,0,0,0,0,0,1,0
0,0,0,0.324355,0.018405,0,0,0,2,0,0,1,1,0
0,0,0,0.998905,0.724138,0,0,0,2,0,0,1,1,0
0,0,0,0.294372,0.218107,0,0,0,2,0,0,1,1,0
0,0,0,0.445977,0.081761,0,0,0,0,0,0,0,1,0
1,0,0,1,0.265653,0,0,0,1,0,0,1,0,0
1,0,0,0.266885,0.945274,0,0,1,10,0,0,1,0,0
1,1,0,1,1,1,0,1,1,0,0,0,0,0
0,0,0,0.200692,0,0,1,0,0,0,0,0,1,0
1,0,0,0.605246,0.577114,0,0,0,5,0,0,0,1,0
0,1,1,0.044084,0.017812,0,0,0,2,0,0,1,1,0
1,0,0,0.747449,0.56,0,0,0,4,0,0,1,1,0
0,0,0,0.066946,1,1,0,1,1,0,0,0,1,0
1,0,0,0.213457,0.351145,0,0,0,6,0,0,0,1,0
1,0,0,0.266885,0.970149,0,0,1,5,0,0,1,0,0
0,0,0,0.584746,0.357702,0,0,0,1,0,0,0,1,0
0,0,0,1,0.302752,0,0,0,0,0,0,0,1,0
0,0,0,0.028602,0.689295,0,0,0,0,0,0,0,0,0
1,0,0,0.605246,0.553897,0,0,0,5,0,0,0,1,0
1,0,0,0.998941,0.921671,0,0,1,2,0,1,1,1,0
0,0,0,0.999147,0.337719,0,0,0,8,0,0,0,1,0
0,0,0,0.584746,0.318538,0,0,0,9,0,0,0,0,0
0,0,0,0.531404,0.725225,0,0,0,1,0,0,0,0,0
0,0,0,0.347156,0.876972,0,0,0,4,0,0,0,1,0
0,0,0,1,0.301075,0,0,0,1,0,0,0,0,0
0,0,0,1,0.202128,0,0,0,0,0,0,0,1,0
0,0,0,0.033673,0.934426,0,0,1,2,0,0,0,0,0
0,0,0,0.07489,0.176991,0,0,0,0,0,0,0,0,0
1,0,0,1,0.81201,0,0,0,3,0,0,1,1,0
1,0,0,0.109827,0.731884,0,0,0,1,0,0,0,1,0
1,0,0,0.510441,0.279898,0,0,0,3,0,1,1,0,0
1,0,0,1,0.341625,0,0,0,0,0,1,0,1,0
0,0,0,0.131183,0.49835,0,0,0,0,0,0,0,1,0
1,1,0,0.01589,1,1,0,1,2,0,1,1,0,0
0,0,0,1,0.43949,0,0,0,1,0,0,0,1,0
0,0,0,1,0.450549,0,0,0,5,0,0,1,1,0
1,0,0,0.214892,0,0,1,0,2,0,0,0,0,0
0,0,0,1,0.736842,0,0,0,0,0,0,0,0,0
0,0,0,1,0.382716,0,0,0,1,0,0,1,1,0
0,0,0,1,0.086066,0,0,0,2,0,1,1,0,0
1,0,0,0.732673,0.181818,0,0,0,4,0,1,0,1,0
0,0,1,0.198718,0.801843,0,0,0,3,0,0,1,0,0
0,0,0,0.72809,0.488095,0,0,0,0,0,0,0,1,0
1,1,0,0.048068,0.996283,0,0,1,2,0,0,1,1,0
1,0,0,0.781609,0.18239,0,0,0,4,0,0,1,1,0
0,0,1,0.230769,0.725807,0,0,0,4,0,0,1,0,0
0,0,0,1,0.011905,0,0,0,0,0,0,1,1,0
0,0,0,0.158333,0.086957,0,0,0,0,0,0,0,1,0
0,0,0,0.998964,0.340659,0,0,0,2,0,0,0,0,0
1,0,0,0.792181,0.815,0,0,0,2,0,0,0,0,0
0,0,0,1,0.669312,0,0,0,0,0,0,0,0,0
1,0,0,0.705747,0.867925,0,0,0,1,0,0,0,1,0
0,0,0,0.813758,0.196721,0,0,0,1,0,1,0,0,0
0,0,0,0.999601,0,0,1,0,3,0,0,1,1,0
0,0,0,0.007692,0.11,0,0,0,0,0,1,0,0,1
0,0,1,1,0.090909,0,1,0,0,0,1,0,1,1
1,1,0,0.017817,0.992806,0,0,1,0,0,0,1,0,1
0,0,0,0.947368,0.96,0,0,1,3,0,0,1,0,1
1,0,0,0.177778,1,1,0,1,1,0,0,0,0,1
0,0,1,1,0.994382,0,0,1,0,0,1,0,0,1
1,0,0,0.00754,0.008681,0,0,0,0,0,0,1,1,1
0,0,0,0.058824,1,1,1,1,1,1,0,0,0,1
0,1,0,0.12254,0.101124,0,0,0,2,0,1,0,0,1
1,0,0,0.139535,0.911392,0,0,1,0,0,0,0,1,1
1,0,0,0.774194,0.963855,0,0,1,5,0,1,1,0,1
1,1,1,0.998459,0.9875,0,0,1,0,0,1,0,1,1
1,0,0,0.188612,0.359184,0,0,0,5,0,0,0,0,1
1,1,1,0.046512,0.974026,0,0,1,2,0,1,0,0,1
0,0,1,0.30303,0.993007,0,0,1,2,0,0,1,1,1
1,1,1,0.530612,0.935065,0,0,1,0,0,1,0,0,1
1,0,0,1,0.055777,0,0,0,2,0,1,0,0,1
1,1,0,1,0.927711,0,0,1,1,0,0,0,1,1
1,1,1,0.07,0.964539,0,0,1,2,0,0,0,0,1
1,1,0,0.36036,0.996988,0,0,1,2,0,1,0,0,1
1,1,0,0.54023,0.971429,0,0,1,4,0,0,0,0,1
0,0,0,0.022654,0.013089,0,0,0,8,0,0,1,1,1
1,0,0,1,1,1,0,1,7,0,0,1,0,1
0,0,0,0.008333,0.478261,0,0,0,0,0,1,0,0,1
0,0,0,0.068351,0,0,1,0,5,0,0,1,1,1
1,0,0,0.793911,0.091398,0,0,0,0,0,1,1,0,1
1,1,1,0.001874,1,1,0,1,1,0,0,0,0,1
